id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
nk-250526035743,naukri,Head Digital Marketing,Client for Hungry Bird IT Consulting Services Pvt Ltd -  for Real Estate Industry,Hyderabad,https://www.naukri.com/job-listings-head-digital-marketing-hungry-bird-it-consulting-services-hyderabad-8-to-13-years-250526035743,2026-05-25,8-13 Yrs,false,,,,,"Hello Candidates , Greetings from Hungry Bird IT Consulting Services Pvt Ltd !!!We are ..."
nk-200526032087,naukri,Marketing Manager,Machinfabrik Industries,Navi Mumbai,https://www.naukri.com/job-listings-marketing-manager-machinfabrik-industries-navi-mumbai-5-to-10-years-200526032087,2026-05-20,5-10 Yrs,false,,,,,Greetings from Machinfabrik Industries Pvt Ltd!We are a leading manufacturing company ...
nk-190526024588,naukri,Marketing Manager,Sajjana Gandla Ganesh,Bengaluru(Koramangala),https://www.naukri.com/job-listings-marketing-manager-sajjana-gandla-ganesh-bengaluru-2-to-5-years-190526024588,2026-05-19,2-5 Yrs,false,,,,,Hiring for Manager Job Title: Marketing Manager - Real Estate  Department: Sales & Mark...
nk-220526031203,naukri,Marketing Manager,Ozone Overseas,Gurugram,https://www.naukri.com/job-listings-marketing-manager-ozone-overseas-gurugram-4-to-7-years-220526031203,2026-05-22,4-7 Yrs,false,,,,,"47 years of experience in luxury, fashion, lifestyle, beauty, or premium brandsExperien..."
nk-250526502384,naukri,Marketing Manager,Cygnus A D Management Consulting Llp,Mumbai,https://www.naukri.com/job-listings-marketing-manager-cygnus-a-d-management-consulting-llp-mumbai-8-to-10-years-250526502384,2026-05-25,8-10 Yrs,false,,,,,"Very good command of MS Excel and MS Word, including advanced Excel skills . Good commu..."
nk-250526036212,naukri,Marketing Manager,Swaaadle Tech,Chennai(Ashok Nagar),https://www.naukri.com/job-listings-marketing-manager-swaaadle-tech-chennai-3-to-5-years-250526036212,2026-05-25,3-5 Yrs,false,,,,,We are looking for a result-oriented Digital Marketing Manager with strong experience i...
nk-250526014200,naukri,Marketing Manager,ZYVORA BRANDS,Gurugram,https://www.naukri.com/job-listings-marketing-manager-zyvora-brands-gurugram-5-to-10-years-250526014200,2026-05-25,5-10 Yrs,false,,,,,"Bachelors degree in marketing, Business, or related field (MBA preferred)Proven experie..."
nk-230526004736,naukri,Marketing Manager,Carbolink India,Hyderabad(Sanath Nagar),https://www.naukri.com/job-listings-marketing-manager-carbolink-india-hyderabad-10-to-20-years-230526004736,2026-05-23,10-20 Yrs,false,,,,,"Standardize all technical marketing collateral, ensuring site case studies, product dat..."
nk-150426017421,naukri,Offline Marketing Manager,Lifestyle,Bengaluru(Yemalur),https://www.naukri.com/job-listings-offline-marketing-manager-lifestyle-bengaluru-3-to-5-years-150426017421,2026-05-25,3-5 Yrs,false,,,,,Vendor & Cross-Functional Management: Negotiate with vendors for maximum ROI and collab...
nk-220526919961,naukri,Marketing Manager,Twixor,"Chennai, Bengaluru",https://www.naukri.com/job-listings-marketing-manager-twixor-chennai-bengaluru-7-to-10-years-220526919961,2026-05-22,7-10 Yrs,false,,,,,This is a full-time position intended for experienced marketing professionals with 7 to...
nk-210526020175,naukri,Marketing Manager,Chara Automation,"Pune, Bengaluru, Delhi / NCR",https://www.naukri.com/job-listings-marketing-manager-chara-automation-pune-bengaluru-delhi-ncr-10-to-15-years-210526020175,2026-05-21,10-15 Yrs,false,,,,,Sex : Male / Female Education : A Bachelors degree in Marketing or a technical field li...
nk-220526503743,naukri,Marketing Manager,Antier Solutions,Mohali,https://www.naukri.com/job-listings-marketing-manager-antier-solutions-private-limited-mohali-8-to-12-years-220526503743,2026-05-22,8-12 Yrs,false,,,,,Develop and implement comprehensive marketing strategies to achieve business objective...
nk-220526501700,naukri,Marketing Manager,Jinvani Channel,Agra,https://www.naukri.com/job-listings-marketing-manager-jinvani-channel-agra-2-to-3-years-220526501700,2026-05-22,2-3 Yrs,false,,,,,Develop and implement marketing strategies to promote the organization s products and ...
nk-220526030505,naukri,Marketing Manager,Siddhivinayak Buildpro,Pune(Ambegaon Bk +1),https://www.naukri.com/job-listings-marketing-manager-siddhivinayak-buildpro-pune-3-to-8-years-220526030505,2026-05-22,3-8 Yrs,false,,,,,Preferred candidate profile Minimum 28 years of experience in real estate marketingExpe...
nk-210526924000,naukri,Marketing Manager,Kineto India,Kolkata,https://www.naukri.com/job-listings-marketing-manager-kineto-kolkata-8-to-13-years-210526924000,2026-05-21,8-13 Yrs,false,,,,,Key Responsibilities Strategic Planning Develop and implement annual marketing plans al...
nk-210526028342,naukri,Marketing Manager,Alldigi Tech,Bengaluru,https://www.naukri.com/job-listings-marketing-manager-alldigi-tech-bengaluru-4-to-9-years-210526028342,2026-05-22,4-9 Yrs,false,,,,,"Min 4 to 9 years of experience in B2B marketing, integrated marketing, and demand gener..."
nk-210526020076,naukri,Hiring Marketing Manager,Gericare,Chennai(T Nagar),https://www.naukri.com/job-listings-hiring-marketing-manager-gericare-chennai-3-to-6-years-210526020076,2026-05-21,3-6 Yrs,false,,,,,Required Skills
nk-210526010197,naukri,Marketing Manager,Indus Parking Services,Gurugram,https://www.naukri.com/job-listings-marketing-manager-indus-parking-services-gurugram-3-to-6-years-210526010197,2026-05-21,3-6 Yrs,false,,,,,"Bachelor s degree in Marketing, Business Administration, Communications, or a related f..."
nk-210526006281,naukri,Marketing Manager,Hinduja Housing Finance,Chennai,https://www.naukri.com/job-listings-marketing-manager-hinduja-housing-finance-chennai-3-to-7-years-210526006281,2026-05-21,3-7 Yrs,false,,,,,Develop overall marketing strategy and action plan for the region - with desired outco...
nk-200526505060,naukri,Marketing Manager,Amiya Commerce &amp; Construction Co,Kolkata,https://www.naukri.com/job-listings-marketing-manager-amiya-commerce-construction-co-pvt-ltd-kolkata-5-to-10-years-200526505060,2026-05-20,5-10 Yrs,false,,,,,Develop and implement effective marketing strategies to achieve business objectives. C...
nk-200526501892,naukri,Marketing Manager,Race,Jaipur,https://www.naukri.com/job-listings-marketing-manager-race-jaipur-2-to-7-years-200526501892,2026-05-20,2-7 Yrs,false,,,,,Candidate should have good communication skills and must be capable to interact with go...
nk-200526501283,naukri,Marketing Manager,Wildnet Technologies,Noida,https://www.naukri.com/job-listings-marketing-manager-wildnet-technologies-pvt-ltd-noida-4-to-6-years-200526501283,2026-05-20,4-6 Yrs,false,,,,,"Proven experience in marketing management, preferably in a similar industry. . Strong u..."
nk-200526042262,naukri,Marketing Manager,Hindustan Marketing Company,Guwahati,https://www.naukri.com/job-listings-marketing-manager-hindustan-marketing-company-guwahati-10-to-15-years-200526042262,2026-05-20,10-15 Yrs,false,,,,,Performs all such duties required for this role as per the changing business requiremen...
nk-190526502829,naukri,Marketing Manager (Partnership),Maker Lab,Gurugram,https://www.naukri.com/job-listings-marketing-manager-partnership-maker-lab-gurugram-6-to-11-years-190526502829,2026-05-19,6-11 Yrs,false,,,,,"Shifts focus on long-term, value-multiplying alliancesExperience collaborating with or ..."
nk-190526500240,naukri,Marketing Manager,Vmayo Technologies,Jaipur,https://www.naukri.com/job-listings-marketing-manager-vmayo-technologies-jaipur-12-to-13-years-190526500240,2026-05-19,12-13 Yrs,false,,,,,"Proven experience in marketing management, preferably in a similar industry. . Strong u..."
nk-180526507059,naukri,Creator Marketing Manager,Oliver Agency,Gurugram,https://www.naukri.com/job-listings-creator-marketing-manager-oliver-seapac-gurugram-8-to-13-years-180526507059,2026-05-18,8-13 Yrs,false,,,,,"Budget Production Ownership: Manage the lifecycle of social productions, from annual ag..."
nk-180526500218,naukri,Marketing Manager,Aaira India,Hisar,https://www.naukri.com/job-listings-marketing-manager-aaira-india-llp-hisar-4-to-7-years-180526500218,2026-05-18,4-7 Yrs,false,,,,,Develop and implement effective marketing strategies to achieve business goals.   Con...
nk-180526500217,naukri,Marketing Manager,Aaira India,Gurugram,https://www.naukri.com/job-listings-marketing-manager-aaira-india-llp-gurugram-4-to-7-years-180526500217,2026-05-18,4-7 Yrs,false,,,,,Develop and implement effective marketing strategies to achieve business goals.   Con...
